Year,Paper ID,Title,Author,Affiliation,Country,Latitude,Longitude,Coordinates,Keywords
2022,11,Monitoring Bodleian Libraries' Repositories with Micro Services,Edith Halvarsson,"Bodleian Libraries, University of Oxford",United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Micro Services, Open Source, Reporting"
2023,2778,(How) It Works! A manifesto .. towards establishing a functional software collection at the Vienna museum of science and technology,Almut Schilling,aBITpreservation,Austria,47.516231,14.550072,"47.516231, 14.550072","software collection, strategy,"
2023,1238,The Long And Winding Road: Implementing an Open-Source Workflow,Karyn Wiliamson,abrdn plc archive,Scotland,56.4906712,-4.2026458,"56.4906711999999, -4.2026458","open-source, workflow, software, analysis"
2023,3521,Revision-safe archiving and license-controlled access using distributed ledger technology,Roman Karl,AIT Austrian Institute of Technology,Austria,47.516231,14.550072,"47.516231, 14.550072","Blockchain, Distributed Ledger, Digital Repository, Electronic Archiving"
2023,3521,Revision-safe archiving and license-controlled access using distributed ledger technology,Sven Schlarb,AIT Austrian Institute of Technology,Austria,47.516231,14.550072,"47.516231, 14.550072","Blockchain, Distributed Ledger, Digital Repository, Electronic Archiving"
2022,11,Monitoring Bodleian Libraries' Repositories with Micro Services,James Mooney,"Bodleian Libraries, University of Oxford",United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Micro Services, Open Source, Reporting"
2022,11,Monitoring Bodleian Libraries' Repositories with Micro Services,Sebastian Lange,"Bodleian Libraries, University of Oxford",United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Micro Services, Open Source, Reporting"
2022,16,OAIS-compliant digital archiving of research and patrimonial data in DNA,Jan Krause,Archives cantonales vaudoises,Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","OAIS compliant, DNA storage, DLCM technology, OLOS, digital repository"
2022,16,OAIS-compliant digital archiving of research and patrimonial data in DNA,Hugues Cazeaux,"IT Division, University of Geneva",Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","OAIS compliant, DNA storage, DLCM technology, OLOS, digital repository"
2023,1869,Giving Access To Born-Digital Archives at the Archives Nationales (France): The Oedipus Riddle,Andr� Falut,Archives nationales de France,France,46.227638,2.213749,"46.227638, 2.213749","access, DIP, integrity, fixity, checksum"
2023,1869,Giving Access To Born-Digital Archives at the Archives Nationales (France): The Oedipus Riddle,Emeline Levasseur,Archives nationales de France,France,46.227638,2.213749,"46.227638, 2.213749","access, DIP, integrity, fixity, checksum"
2023,1869,Giving Access To Born-Digital Archives at the Archives Nationales (France): The Oedipus Riddle,Julien Fenech,Archives nationales de France,France,46.227638,2.213749,"46.227638, 2.213749","access, DIP, integrity, fixity, checksum"
